SampleID	Facility	Genotype
100CHE6KO	PaloAlto	KO
101CHE6WT	PaloAlto	WT
102CHE6WT	PaloAlto	WT
103CHE6KO	PaloAlto	KO
104CHE6KO	PaloAlto	KO
20CMK6KO	Dalhousie	KO
21CMK6WT	Dalhousie	WT
22CMK6KO	Dalhousie	KO
23CMK6WT	Dalhousie	WT
24CMK6KO	Dalhousie	KO
26CMK6WT	Dalhousie	WT
30CMK6KO	Dalhousie	KO
32CMK6KO	Dalhousie	KO
33CMK6WT	Dalhousie	WT
34CMK6KO	Dalhousie	KO
36CMK6WT	Dalhousie	WT
81CHE6WT	PaloAlto	WT
82CHE6WT	PaloAlto	WT
84CHE6KO	PaloAlto	KO
86CHE6WT	PaloAlto	WT
87CHE6KO	PaloAlto	KO
88CHE6KO	PaloAlto	KO
99CHE6KO	PaloAlto	KO
9CMK6KO	Dalhousie	KO
